VYBER,credit,withdrawal,total_type_count,collection_from_another_bank,credit_card_withdrawal,credit_in_cash,other,remittance_to_another_bank,withdrawal_in_cash,status,gender,age,region,avg_salary,type_card
2,43,16,61,0,0,29399.7,309.916666667,2316.14285714,12021.275,yes,M,38,north Moravia,9893,no_card
6,28,22,56,0,0,21496.375,211.383333333,4191.5,11554.2916667,no,M,34,south Moravia,8441,no_card
0,29,14,43,0,0,13713.6875,106.483333333,5825,2873.37391304,yes,M,42,west Bohemia,8843,no_card
0,0,2,2,0,0,5050,0,0,0,no,M,58,south Moravia,9897,no_card
0,11,11,22,53301.1666667,0,0,194.76,0,25719.5090909,no,M,39,central Bohemia,11277,no_card
0,19,12,31,0,0,21375,161.6,0,4362.50526316,yes,M,33,central Bohemia,8598,no_card
0,23,14,37,0,0,19365.75,207,6454,6446.32941176,yes,M,43,north Moravia,10177,no_card
2,23,12,37,24688.1666667,1800,0,207.183333333,0,6370.81666667,yes,M,57,north Bohemia,9272,classic
0,37,12,49,0,3400,14453.8571429,220.18,2391,3145.47058824,yes,M,59,west Bohemia,8561,classic
0,30,17,47,0,0,7517.90909091,137.3,6358,1814.48333333,yes,M,54,south Moravia,8757,classic
2,32,15,49,0,0,23953.3333333,122.883333333,4629.66666667,5892.6,yes,M,43,Prague,12541,classic
1,18,12,31,28616.4,0,300,226.15,7395,7540.70588235,yes,M,47,south Bohemia,9104,no_card
0,27,13,40,0,0,5499.71428571,113.35,1897,1847.82352941,yes,M,29,north Bohemia,10446,no_card
1,16,12,29,0,0,20222.5,93.7,0,4434.27058824,no,M,48,south Moravia,9897,classic
0,28,18,46,0,0,16705,92.7,0,4633.09285714,no,M,42,north Moravia,8173,no_card
2,19,14,35,13369.4,0,2033.33333333,128.483333333,0,3913.55238095,yes,M,44,south Bohemia,8427,no_card
1,29,20,50,0,0,19423.7857143,262.216666667,4514,9982.23333333,yes,M,38,north Bohemia,9317,no_card
0,29,12,41,0,0,23170.3333333,126.4,4605,5453.37391304,yes,M,39,central Bohemia,9307,no_card
0,33,14,47,0,0,13825.875,146.95,9235,3070.65185185,yes,M,51,south Bohemia,8402,classic
0,9,16,25,0,0,23985.9166667,219,0,22425.4666667,yes,M,22,north Moravia,8994,classic
0,43,11,54,0,0,11272.1666667,114.44,1443.33333333,1746.92,yes,M,45,Prague,12541,no_card
0,37,15,52,0,0,6270.66666667,106.65,1501.4375,2185.38095238,yes,M,28,north Moravia,8746,no_card
0,17,12,29,41918.5,0,0,208.766666667,14291,14872.6,yes,M,64,north Moravia,8994,no_card
0,2,13,15,0,0,4412.77777778,90.65,0,4400,yes,M,59,north Moravia,10177,no_card
1,21,11,33,40990.1666667,0,0,316.6,0,10344.8636364,yes,M,41,north Bohemia,9065,gold
1,15,12,28,43345.1666667,0,0,282.083333333,5940,16554.5384615,yes,M,41,central Bohemia,9753,classic
3,16,14,33,0,0,27030.875,261.166666667,0,10873.7368421,yes,M,33,central Bohemia,8546,classic
2,34,19,55,0,0,31594.5384615,230.85,0,12158.6277778,yes,M,24,north Moravia,10177,no_card
3,27,12,42,22103.1666667,0,0,153.266666667,7085,4100.98333333,yes,M,55,east Bohemia,8390,no_card
0,3,11,14,24545,0,500,162.7,0,10233.3333333,yes,M,54,south Moravia,8403,no_card
2,32,13,47,0,0,16910.2857143,114.983333333,2880.66666667,2740.225,yes,M,63,east Bohemia,8363,no_card
3,15,14,32,0,0,18780.625,219.216666667,0,7084.88888889,yes,M,49,east Bohemia,8363,no_card
0,41,13,54,0,0,10821.1428571,97.2666666667,2372,1738.59130435,yes,M,20,east Bohemia,8390,no_card
2,26,12,40,52148.5,0,0,129.1,10261,10081.4363636,yes,M,43,south Moravia,9897,no_card
2,16,12,30,0,0,13169.8333333,86.25,0,5174.16666667,no,M,36,south Bohemia,8547,no_card
2,30,11,43,20494,0,0,154.3,4397,4515.2962963,yes,M,31,central Bohemia,9622,no_card
0,36,13,49,0,0,17649.5714286,172.65,2261,8837.5,yes,M,48,north Moravia,10673,no_card
0,35,14,49,0,0,4398,111.86,827.611111111,2070.49411765,yes,M,53,north Moravia,9893,no_card
4,27,14,45,0,0,22726.875,139.716666667,0,7939.06451613,no,M,28,south Moravia,8403,no_card
0,21,13,34,24733.5,0,900,154.45,5779.85714286,8281.7,yes,M,57,south Moravia,8544,no_card
2,28,12,42,26745.3333333,0,0,171.2,0,6045.2,yes,M,37,central Bohemia,8598,no_card
0,39,14,53,0,0,12946,131.2,3314,2426.94814815,yes,M,53,north Bohemia,8965,no_card
0,24,14,38,13502.6666667,0,2850,101.416666667,4162,2705.55555556,yes,M,39,south Moravia,8743,no_card
3,20,14,37,0,0,22154.625,239.816666667,0,8891.89565217,yes,M,55,south Moravia,8743,no_card
2,14,13,29,0,0,15028.8571429,148.033333333,3483,10492.8,yes,M,60,south Moravia,8772,no_card
0,27,11,38,12937.2,0,0,92.9833333333,4224.5,1816.91764706,yes,M,58,south Moravia,8240,no_card
4,22,12,38,52697.6666667,0,0,248.366666667,0,11690.2923077,yes,M,32,south Moravia,8240,no_card
0,27,11,38,0,0,21981.8333333,192.26,5930,4665.38095238,yes,M,42,south Bohemia,8402,no_card
4,24,17,45,0,0,17462,156.8,6376,8481.07272727,yes,M,59,north Bohemia,9675,no_card
1,33,20,54,0,0,29906.7142857,322.583333333,14882,11940.4642857,yes,M,53,south Bohemia,8402,no_card
0,2,8,10,12508,0,2050,72.9,0,5950,yes,M,34,south Moravia,8403,no_card
2,26,16,44,0,2100,27975.5,230.45,0,11198.0769231,yes,M,54,north Bohemia,9832,classic
4,23,23,50,0,0,24817.5454545,173.516666667,0,11615.637037,yes,M,48,south Moravia,8544,no_card
4,13,13,30,0,0,16194.5714286,89.5833333333,0,7104.25882353,no,M,24,west Bohemia,8930,no_card
0,27,13,40,0,0,16883,123.35,0,4086.20740741,yes,M,37,east Bohemia,8187,no_card
0,16,14,30,0,0,22945,177.166666667,0,8255.475,yes,M,31,north Moravia,8173,classic
2,20,17,39,0,0,17752.4545455,83.7666666667,0,7796.61363636,no,M,30,north Moravia,8173,no_card
0,25,16,41,0,0,5887.1,124.95,1707.88888889,3158.3125,yes,M,42,west Bohemia,8930,no_card
0,16,10,26,0,0,15056,256.183333333,9749,3410,yes,M,62,central Bohemia,8546,no_card
1,26,12,39,25703.1666667,0,200,144.46,12113,3921.71428571,yes,M,59,east Bohemia,9538,no_card
0,3,7,10,0,0,17023.5,115.266666667,0,7066.66666667,yes,M,49,north Moravia,9893,classic
0,26,12,38,47588.6666667,0,0,264.383333333,14456,8769.38,yes,M,56,north Moravia,8678,no_card
0,47,14,61,0,0,16112.75,159.733333333,2059,3304.4,yes,M,59,west Bohemia,8594,no_card
0,50,12,62,0,2187.5,21242,144.466666667,1708.75,4414.86666667,yes,M,48,west Bohemia,8594,classic
6,28,12,46,52215.5,0,0,209.35,11994,7378.64285714,yes,M,46,west Bohemia,8930,no_card
0,30,12,42,0,0,14808.1666667,165.683333333,5710,2610.92,yes,M,50,north Bohemia,9198,no_card
0,0,4,4,0,0,5025,0,0,0,no,M,52,west Bohemia,9650,no_card
2,18,17,37,0,0,19087.5833333,168.54,2682.375,13018.8166667,yes,M,31,east Bohemia,8369,no_card
3,24,17,44,0,0,26360.4166667,323.66,0,12886.5555556,yes,M,25,west Bohemia,8594,no_card
1,24,12,37,25940.5,0,0,181.966666667,5475.5,7414.02352941,yes,M,57,north Moravia,9893,no_card
1,30,13,44,0,0,12098.5714286,97.6,3485,2127.23076923,yes,M,47,south Moravia,8743,no_card
0,12,12,24,19101.3333333,0,3900,160.36,6994,7202.92,yes,M,59,south Bohemia,10045,classic
4,21,12,37,42910.8333333,0,0,236.716666667,0,8868.12,yes,M,49,south Bohemia,8402,classic
0,25,11,36,0,1928.57142857,26719.3333333,341.74,0,7976.27777778,yes,M,33,Prague,12541,classic
0,31,14,45,0,0,16182.625,182.933333333,1526,6576.18947368,yes,M,20,Prague,12541,junior
0,5,10,15,29783.6,0,700,205.2,0,15160,yes,M,42,north Bohemia,9272,no_card
1,41,16,58,31243.3333333,0,0,148.45,2417.33333333,7512.55416667,no,M,42,central Bohemia,8546,no_card
1,34,13,48,0,0,34529,230.866666667,3756.5,9094.15652174,yes,M,29,Prague,12541,no_card
1,19,13,33,15063.8333333,0,3300,150.4,0,4015.23,yes,M,51,north Moravia,10177,no_card
0,21,15,36,0,0,13686,97.85,14164,4192.5,yes,M,44,west Bohemia,10787,no_card
0,37,12,49,37052.1666667,0,0,278.25,4419,6972.63157895,yes,M,36,Prague,12541,no_card
0,5,9,14,0,0,15519,134.04,0,7760,no,M,23,north Moravia,9893,no_card
0,44,12,56,0,0,20829.1666667,194.133333333,1126.66666667,3944.90769231,yes,M,62,central Bohemia,9307,classic
0,26,15,41,0,0,4630.55555556,91,3115,1594.38,yes,M,60,east Bohemia,8388,no_card
0,46,12,58,31838.1666667,0,0,239.3,2383.75,6599.43636364,yes,M,56,south Moravia,8240,no_card
5,21,13,39,0,0,16882,118.466666667,0,6001.26923077,no,M,24,south Moravia,9624,gold
0,19,12,31,0,0,11122.5,55.5,6844,2114.43076923,yes,M,28,north Bohemia,9065,no_card
4,21,11,36,46686.1666667,0,0,322.12,1621.5,16183.5684211,yes,M,59,north Moravia,10177,classic
1,16,12,29,15097.3333333,0,0,124.216666667,0,5523.22352941,yes,M,22,south Moravia,9897,no_card
0,21,11,32,0,0,19002.5,169.766666667,0,5830.83809524,yes,M,42,south Moravia,8444,no_card
0,7,10,17,54244.4,0,400,223.025,0,26571.4285714,yes,M,62,north Moravia,10673,classic
0,19,12,31,0,0,13370.5,125.6,3468,4999.89333333,yes,M,23,Prague,12541,no_card
0,26,13,39,0,0,13330.8571429,149.783333333,2357,4684.82857143,yes,M,25,north Moravia,10177,classic
0,24,12,36,0,0,13707.5,179.816666667,1879.5,3390.2375,yes,M,46,east Bohemia,8363,no_card
0,13,13,26,0,0,17076.4285714,149.7,9768,6735.38181818,yes,M,35,east Bohemia,8388,no_card
0,15,12,27,0,0,24316.5,242.6,7264,9203.65,yes,M,19,Prague,12541,junior
3,37,11,51,33341.8333333,0,0,113.9,4754.33333333,5785.40909091,yes,M,56,west Bohemia,8930,classic
0,3,11,14,21614,0,1050,172.175,0,14600,yes,M,43,east Bohemia,8541,no_card
0,25,12,37,0,0,23056,181.42,5922,5614.36842105,yes,M,34,south Bohemia,8427,classic
2,31,18,51,0,0,20248.3333333,183.816666667,3110,9941.02857143,no,M,33,north Moravia,8110,no_card
0,21,19,40,0,0,25814.3846154,275.15,0,14251.4285714,yes,M,59,central Bohemia,8899,no_card
2,22,12,36,44457.8333333,0,0,278.683333333,0,11130.65,yes,M,48,south Bohemia,8402,classic
5,25,20,50,0,0,20343.8571429,253.35,13386,9220.375,yes,M,29,west Bohemia,8930,classic
0,10,11,21,0,0,33100.6,238.116666667,4625,13077.7777778,yes,M,54,north Bohemia,9675,no_card
0,6,9,15,0,0,25334,153.916666667,0,11700,no,M,41,north Moravia,8746,no_card
1,24,14,39,0,0,37084.875,292.8,0,12622.184,yes,M,35,west Bohemia,8843,no_card
0,18,10,28,0,0,31207.25,190.333333333,0,10698.5,yes,M,50,Prague,12541,no_card
2,43,11,56,0,0,16811,134.583333333,911.5,4037.88571429,yes,M,49,west Bohemia,8991,no_card
4,21,19,44,0,0,34161.4615385,285.466666667,0,17119.624,yes,M,49,central Bohemia,8598,classic
0,27,12,39,0,0,25616.5,265.683333333,5742,5756.55238095,yes,M,28,Prague,12541,no_card
3,20,12,35,42616.1666667,3000,0,273.35,0,11466.5454545,yes,M,25,central Bohemia,8507,classic
1,46,10,57,0,0,23968.4,110.72,1670,4466.30434783,yes,M,20,north Bohemia,8705,no_card
0,21,18,39,13084.5,0,8083.33333333,124.933333333,10707,2912.50666667,yes,M,41,east Bohemia,8187,no_card
0,48,14,62,0,0,15158,18.95,1295.04545455,2751.65384615,no,M,53,north Moravia,10177,no_card
0,25,13,38,0,0,9177.42857143,109.983333333,4723,2753.03157895,yes,M,19,north Moravia,9893,no_card
3,27,11,41,19969,0,0,132.416666667,3612,4842.9,yes,M,50,east Bohemia,8363,no_card
0,13,10,23,0,0,37331.4,254.14,2137.66666667,16392.92,yes,M,26,south Bohemia,8968,classic
0,46,11,57,0,0,21939.6666667,183.88,1873,3462.60714286,yes,M,33,north Moravia,10177,no_card
0,25,18,43,0,0,5631.66666667,89.9833333333,4613,2166.71578947,yes,M,43,west Bohemia,8594,no_card
0,24,14,38,0,0,13635.875,120.8,6448,3574.86666667,yes,M,45,north Bohemia,8705,no_card
2,23,17,42,0,0,28302.1666667,238.82,0,14239.72,yes,M,59,east Bohemia,9425,no_card
0,18,11,29,0,0,14332.2,208.483333333,0,8160.42222222,yes,M,21,east Bohemia,8363,no_card
1,17,12,30,27217.6666667,0,0,246.1,9554,9379.85333333,yes,M,44,south Moravia,8403,no_card
7,20,18,45,0,0,29421.25,162.95,0,10975.0962963,yes,M,41,Prague,12541,no_card
0,22,14,36,0,0,6137.75,106.166666667,4982,1802.8,yes,M,49,east Bohemia,8541,no_card
0,25,16,41,0,0,13087.2,157.316666667,0,4341.104,yes,M,53,central Bohemia,8546,no_card
0,40,17,57,0,0,8518.27272727,79.5166666667,1340.33333333,3629.43636364,yes,M,63,Prague,12541,no_card
4,34,19,57,52887.1666667,0,12300,183.233333333,0,8171.80526316,yes,M,26,south Moravia,9624,no_card
0,23,12,35,0,0,12503.8333333,184.133333333,5016,2890.72222222,yes,M,28,south Moravia,8441,no_card
0,28,17,45,0,0,10027.9090909,153.15,7067,3216.70909091,yes,M,35,Prague,12541,no_card
0,32,13,45,0,0,16371.8571429,168.133333333,3532,3681.83076923,yes,M,37,east Bohemia,8363,no_card
4,32,11,47,48640.5,3700,0,215.22,2202.5,11571.7826087,yes,M,21,north Moravia,8746,junior
0,7,12,19,15649,0,3000,154.28,0,7185.71428571,yes,M,49,south Moravia,8288,no_card
0,36,22,58,0,0,23558.0625,243.233333333,5462.5,14070,yes,M,63,central Bohemia,8507,no_card
0,37,12,49,0,2100,19345.8333333,201.866666667,1287.23529412,5803.75555556,yes,M,52,east Bohemia,8363,classic
1,29,14,44,0,0,22899.125,196.95,11222,5385.58333333,yes,M,42,east Bohemia,8363,no_card
0,24,11,35,23856.1666667,0,0,104.46,6869,6159.61111111,yes,M,28,west Bohemia,10787,no_card
1,31,12,44,45404.6666667,0,0,164.533333333,1554,12389.1,yes,M,47,south Moravia,8720,no_card
1,41,20,62,0,0,26072.6428571,225.6,3812.5,11157.5533333,yes,M,32,central Bohemia,9622,no_card
0,23,12,35,0,0,16558.75,153.95,7289,4024.35555556,yes,M,52,central Bohemia,9622,gold
0,30,14,44,0,0,10583.625,125.383333333,4049.5,3618.92,yes,M,47,Prague,12541,no_card
0,29,11,40,47393.6666667,0,0,205.3,7217,12467,yes,M,46,north Moravia,9893,classic
3,22,13,38,0,0,27007.625,259.78,0,9951.56,yes,M,50,north Moravia,10673,classic
2,28,14,44,0,0,18825.25,191.383333333,5907,7055.19166667,yes,M,60,central Bohemia,10124,no_card
0,22,18,40,0,0,7225.91666667,100.666666667,4247,3987.975,yes,M,28,central Bohemia,8980,no_card
5,24,18,47,0,0,26675.5833333,319.233333333,0,11745.9862069,yes,M,60,Prague,12541,no_card
5,46,13,64,52814.6666667,5200,900,252.366666667,2139,10091.1130435,yes,M,61,south Bohemia,8402,gold
0,32,12,44,0,0,25381.4166667,234.783333333,2345.5,6051.38,yes,M,41,south Moravia,8288,classic
0,20,12,32,0,0,18153.8333333,176.716666667,0,6905,yes,M,52,south Moravia,8512,no_card
0,3,11,14,0,0,15782.7857143,177.95,0,16100,yes,M,35,north Moravia,8909,classic
0,17,16,33,0,0,20245.1818182,207.92,7289.5,15600,yes,M,52,east Bohemia,8388,no_card
0,14,12,26,21071.8333333,0,0,162.2,0,8931.7,yes,M,40,central Bohemia,10124,no_card
0,16,7,23,0,0,24092,116.68,0,4892.975,no,M,19,east Bohemia,8254,no_card
5,40,13,58,44898.8333333,3000,2100,224.25,3292,7224.52307692,yes,M,27,east Bohemia,8208,classic
0,36,15,51,0,0,7827.88888889,114.15,3084.5,1417.81666667,yes,M,34,Prague,12541,no_card
2,12,11,25,0,0,22387,151.42,0,10924.2857143,no,M,54,south Moravia,8444,no_card
1,41,15,57,0,0,32754.4444444,251.883333333,1526,9573.58666667,yes,M,22,north Bohemia,8965,junior
3,17,13,33,34796.6666667,0,1900,178.266666667,14723,10833.2375,yes,M,63,south Bohemia,10045,no_card
0,20,12,32,27472.1666667,0,0,151.95,0,7609.38,yes,M,48,north Bohemia,10446,no_card
0,27,18,45,0,0,6977.33333333,168.066666667,4474,2913.6952381,yes,M,45,north Bohemia,8965,no_card
1,25,17,43,0,0,25207.1818182,229.583333333,0,8169.71538462,yes,M,46,east Bohemia,9060,no_card
1,17,12,30,0,0,11354.8333333,102.05,0,4296.81111111,no,M,27,south Moravia,8444,classic
1,22,15,38,0,0,26619.3333333,264.6,0,9826.63478261,no,M,60,west Bohemia,8843,no_card
1,33,16,50,0,0,13567.8,183.816666667,6619.5,3515.61818182,yes,M,63,south Moravia,9624,classic
1,20,13,34,0,0,30580.7142857,153.133333333,0,10312.9809524,yes,M,45,Prague,12541,no_card
0,27,12,39,0,0,22383.8333333,118.966666667,8197,5460.61904762,yes,M,42,north Moravia,10673,no_card
5,21,18,44,53907.8333333,0,0,133.458333333,0,12986.2538462,no,M,47,north Moravia,10673,no_card
4,47,12,63,49846.3333333,3300,0,260.733333333,1019.25,10191.3692308,yes,M,35,Prague,12541,classic
0,23,12,35,0,0,20289.75,127.45,9249,3288.2,yes,M,35,central Bohemia,8980,no_card
0,10,12,22,0,0,21449.4285714,160.66,414,11723.8444444,yes,M,46,north Moravia,10673,no_card
0,26,13,39,0,0,9726.85714286,146.416666667,1573.9,3659.9,yes,M,47,south Moravia,8288,no_card
3,49,12,64,22005.8333333,0,0,175.6,879.75,4237.25,yes,M,54,central Bohemia,8754,no_card
7,21,13,41,0,0,21914,198.2,0,6605.05714286,yes,M,35,south Moravia,8288,no_card
4,27,19,50,0,0,26865.4615385,246.916666667,0,12357.8709677,yes,M,37,east Bohemia,8388,no_card
1,18,9,28,0,0,35743,177.383333333,0,6458.52631579,yes,M,19,south Moravia,8757,no_card
1,25,12,38,36546.1666667,0,0,154.116666667,0,9452.56153846,yes,M,64,north Bohemia,9675,no_card
2,22,12,36,0,0,32392.3333333,189.75,0,8969.73333333,yes,M,58,south Bohemia,8427,no_card
0,15,13,28,0,0,15517.0714286,164.5,3373,6131.98333333,yes,M,48,central Bohemia,8899,no_card
6,28,15,49,18939.8333333,0,1633.33333333,141.6,2612,4109.89090909,yes,M,48,south Moravia,8757,no_card
2,26,14,42,0,0,25983.5,218.4,0,6847.34285714,yes,M,22,east Bohemia,8187,no_card
0,20,14,34,0,0,6237.125,114.6,3124,2205.71428571,yes,M,28,north Moravia,8994,no_card
3,37,15,55,17195.8333333,0,2375,102.06,3668,2589.36363636,yes,M,21,east Bohemia,9060,no_card
0,33,13,46,0,0,14892,225.983333333,2548,3446.07619048,yes,M,54,south Moravia,8240,no_card
1,23,17,41,0,0,28317.4545455,274.2,0,12436.5666667,yes,M,23,Prague,12541,classic
1,29,22,52,0,0,20200.0625,208.033333333,9503,9552.024,yes,M,45,north Bohemia,8965,no_card
0,24,17,41,0,0,6832.45454545,82.5666666667,0,2913.65,no,M,31,Prague,12541,no_card
0,29,16,45,0,0,12646.7,140.6,4508.5,4102.8,yes,M,35,south Moravia,9624,no_card
2,11,12,25,0,0,29001.8333333,155.3,0,12013.7846154,no,M,35,central Bohemia,8980,no_card
0,24,13,37,0,0,7536.71428571,110.816666667,1905.33333333,3601.53333333,yes,M,42,Prague,12541,no_card
0,4,9,13,0,0,15402.1,113.8,0,8550,yes,M,36,Prague,12541,no_card
5,30,12,47,32024.5,0,0,183.9,1594.4,9406,yes,M,23,north Bohemia,9065,no_card
2,33,12,47,34259.3333333,0,0,201.983333333,2550.5,7844.784,yes,M,50,central Bohemia,9920,no_card
0,42,14,56,0,0,10820.7777778,94.24,1735,2480.72222222,yes,M,59,south Moravia,9897,no_card
4,24,15,43,0,0,26677.5555556,142.7,0,10618.2357143,no,M,37,south Moravia,8240,no_card
3,31,16,50,0,0,25572.7,154.416666667,5666,7628.70909091,yes,M,57,Prague,12541,no_card
0,3,8,11,43292.25,0,1100,168.8,0,24700,yes,M,50,east Bohemia,8254,no_card
2,14,12,28,36252.6666667,0,0,323.983333333,0,12983.0875,yes,M,38,east Bohemia,8363,no_card
0,14,10,24,0,0,20549.75,44.0833333333,0,5234.82857143,yes,M,39,north Bohemia,9065,no_card
0,32,12,44,17508.8333333,0,0,74.6333333333,4983.41176471,3731.53333333,yes,M,27,central Bohemia,11277,no_card
0,31,21,52,0,0,27159.2666667,226.35,13428,12587.2,yes,M,60,west Bohemia,8561,no_card
0,12,19,31,34434.8333333,0,800,212.95,0,13902.4333333,yes,M,39,Prague,12541,no_card
1,17,13,31,0,0,21821,140.9,0,8847.6,no,M,61,south Moravia,9897,no_card
0,3,9,12,0,0,9567.16666667,92.8333333333,0,6766.66666667,yes,M,22,south Moravia,8720,no_card
2,19,11,32,20562.8333333,0,0,143.5,0,4329.0952381,yes,M,21,north Bohemia,9198,no_card
5,41,18,64,0,0,15829,153.1,1849.33333333,8085.37857143,yes,M,60,east Bohemia,8363,no_card
0,3,9,12,0,0,9252,82.6,0,6866.66666667,no,M,31,central Bohemia,9622,no_card
0,37,11,48,0,0,19656,145.86,1209,4471.21052632,yes,M,39,south Moravia,9897,classic
1,16,17,34,0,0,30853,265.5,14448,18977.5866667,yes,M,53,central Bohemia,8546,no_card
1,31,6,38,0,0,15952,105.825,2337,2463.98823529,no,M,61,east Bohemia,8187,no_card
0,20,17,37,0,0,10407.4545455,140.083333333,8753,3306.25714286,yes,M,26,Prague,12541,no_card
0,33,16,49,0,0,8122.45454545,144.66,1747.66666667,3430.2,yes,M,48,south Moravia,8544,no_card
0,6,10,16,48521,0,900,239.375,9516,29040,yes,M,40,south Moravia,8512,no_card
4,19,13,36,26490.8333333,0,1400,161.25,12006,7255.83157895,yes,M,32,south Moravia,8757,no_card
0,21,18,39,0,0,9499.91666667,199.85,6646,3904.50666667,yes,M,26,north Moravia,8909,no_card
3,16,19,38,0,0,24788.5384615,153.466666667,4797,15332,yes,M,43,south Moravia,9624,no_card
0,23,24,47,0,0,27309.8888889,199.45,0,18508.8217391,no,M,54,south Moravia,8814,no_card
2,21,17,40,0,0,26495,205.683333333,0,12748.5913043,yes,M,50,west Bohemia,8843,classic
1,27,15,43,0,0,26850.5555556,302.216666667,6135,8391.8,yes,M,51,north Moravia,10673,classic
4,21,15,40,0,0,23373,202.48,12756,6506.63157895,yes,M,57,north Bohemia,8965,classic
3,21,12,36,48832.3333333,0,0,352.783333333,0,12544.9416667,yes,M,53,north Moravia,8173,gold
4,25,11,40,36797.2,0,0,140.866666667,7802,6551.08333333,yes,M,31,north Moravia,10673,no_card
0,30,17,47,0,0,8140.63636364,76.3,3612.5,2184.86666667,yes,M,48,south Bohemia,8114,no_card
0,53,12,65,0,0,26351,173.983333333,2120.75,3637.50344828,yes,M,43,north Moravia,8746,no_card
0,5,12,17,0,0,24122.4285714,222.42,0,25000,yes,M,32,north Bohemia,10446,classic
0,24,17,41,0,0,7891.45454545,98.6,5005,3679.31111111,yes,M,38,Prague,12541,no_card
1,12,13,26,0,0,23749.6666667,202.075,0,14365.8615385,yes,M,35,south Moravia,8544,no_card
2,18,13,33,0,0,10506.5714286,157.816666667,0,4753.88,yes,M,28,south Moravia,8441,classic
4,32,21,57,0,0,25075.4,341.633333333,0,12439.4888889,yes,M,29,south Bohemia,10045,classic
0,3,7,10,0,0,21282.75,120.066666667,0,16866.6666667,no,M,64,north Moravia,8746,no_card
1,21,12,34,15564.1666667,0,0,125.233333333,4556,3860.3125,yes,M,31,south Bohemia,8114,no_card
0,32,12,44,0,0,26460.4166667,250.666666667,4435.45454545,5243.21904762,yes,M,37,east Bohemia,8390,no_card
0,38,12,50,0,0,15537.1666667,136.85,2403.33333333,3091.38,yes,M,27,west Bohemia,8991,no_card
5,23,16,44,0,0,32314.4,237.133333333,0,10940.8428571,yes,M,24,east Bohemia,8187,junior
4,20,21,45,0,0,29101.2,257.016666667,10479,18346.9238095,yes,M,55,north Moravia,9893,classic
0,40,12,52,0,0,9349.16666667,97.25,1048,1815.8,yes,M,52,south Moravia,8772,no_card
0,31,14,45,0,0,15676.875,130.766666667,0,3758.95483871,yes,M,35,south Moravia,8720,no_card
0,25,14,39,0,0,22727.75,169.1,8723,7174.38,yes,M,26,central Bohemia,8899,classic
0,3,9,12,0,0,10056,104.3,0,5300,yes,M,52,west Bohemia,8561,classic
0,6,10,16,0,0,17161.5714286,154.7,12260,8182.92,yes,M,23,Prague,12541,classic
